"firstName","lastName","email","phoneNumber","department","address","salary","hireDate"
"Charlene","Wuckert","Charlene_Wuckert7@yahoo.com","+16968754821","Marketing","169 Kieran Freeway Apt. 208",70908,"2025-03-01"
"Maddison","Robel","Maddison_Robel22@yahoo.com","+19106684279","Customer Support","339 Kutch Tunnel Apt. 140",81169,"2021-11-20"
"Alford","Koss","Alford_Koss@yahoo.com","+14843927863","Human Resources","7247 S Main Street Apt. 377",58289,"2017-01-20"
"Abbigail","Crist","Abbigail.Crist24@hotmail.com","+16764368254","Legal","3575 Daphney Manors Suite 199",82806,"2019-11-21"
"Cierra","Emard","Cierra_Emard@gmail.com","+15943370026","Research and Development","655 Joanny Trafficway Suite 530",135860,"2020-06-13"
"Litzy","VonRueden","Litzy_VonRueden@gmail.com","+16183056052","Engineering","799 Al Viaduct Apt. 621",122724,"2016-07-01"
"Reid","King","Reid.King@hotmail.com","+14377960816","Engineering","4272 Kessler Hollow Apt. 218",82896,"2017-02-16"
"Jamel","Pacocha","Jamel.Pacocha@yahoo.com","+19654375728","IT","63739 S Walnut Street Apt. 256",54933,"2022-07-23"
"Chelsie","Tillman","Chelsie_Tillman@gmail.com","+19613175733","Product Management","16206 Augusta Mills Apt. 827",45174,"2015-10-16"
"Queen","Ryan","Queen.Ryan12@gmail.com","+13353123768","Operations","827 Hessel Mountains Suite 963",91434,"2015-10-13"
"Lula","Upton","Lula_Upton@yahoo.com","+17209792966","Design","673 Yolanda Run Apt. 969",125235,"2019-06-16"
"Jessica","Zieme","Jessica.Zieme@hotmail.com","+14502864646","Design","13040 Mose Course Apt. 179",108835,"2021-07-11"
"Dashawn","Rau","Dashawn_Rau1@hotmail.com","+16346833967","Design","6159 Buddy Wells Apt. 468",94461,"2024-01-01"
"Sedrick","Runte","Sedrick.Runte63@hotmail.com","+16543382805","Research and Development","375 Dustin Garden Apt. 946",123818,"2018-02-24"
"Spencer","Greenholt","Spencer.Greenholt47@hotmail.com","+19506081558","IT","47537 S West Street Suite 616",37294,"2022-04-29"
"Dasia","Sawayn","Dasia.Sawayn@hotmail.com","+15465502165","Finance","98350 W Broad Street Suite 648",90429,"2020-08-26"
"Moses","Kuhlman","Moses.Kuhlman@gmail.com","+15539844869","Customer Support","3942 South Street Suite 932",124898,"2016-03-09"
"Lucinda","Bergstrom","Lucinda.Bergstrom90@hotmail.com","+16255565050","Engineering","148 Ward Route Apt. 614",60786,"2022-05-31"
"Devyn","Cremin-Beier","Devyn.Cremin-Beier93@gmail.com","+16305616710","IT","854 N Market Street Suite 717",138413,"2023-01-07"
"Bryana","Labadie","Bryana.Labadie@hotmail.com","+15197295244","Finance","9612 Bayer Ports Apt. 226",73611,"2023-05-21"
"Wilburn","Waelchi-Pfannerstill","Wilburn_Waelchi-Pfannerstill@yahoo.com","+18597860792","Finance","740 S Union Street Suite 542",149255,"2020-01-05"
"Mireya","Cummings","Mireya_Cummings98@yahoo.com","+18704781915","IT","9153 Jaskolski Wells Suite 577",77091,"2019-03-18"
"Giovanni","Kautzer","Giovanni.Kautzer72@gmail.com","+15655102142","Research and Development","24879 Iva Skyway Suite 807",72707,"2017-11-22"
"Graciela","Dibbert","Graciela.Dibbert@gmail.com","+19657820490","Customer Support","30535 Lottie Plain Apt. 168",48676,"2019-05-04"
"Veda","Hayes","Veda_Hayes@gmail.com","+12895496512","Finance","618 Mann-McLaughlin Village Suite 743",126308,"2020-06-17"
"Sierra","Russel","Sierra_Russel@yahoo.com","+15104197442","IT","1526 Hand Well Suite 957",89194,"2022-08-14"
"Freeda","Reichel","Freeda.Reichel@gmail.com","+13536348592","Sales","9802 W Chestnut Street Apt. 651",79661,"2021-08-05"
"Jayda","Koss","Jayda.Koss41@gmail.com","+13344489667","Legal","347 Pfannerstill Manor Apt. 243",139312,"2024-09-17"
"Jaunita","Kerluke","Jaunita_Kerluke42@gmail.com","+12446326454","Sales","45689 Tatum Mews Suite 904",100371,"2020-08-05"
"Abigail","Leffler","Abigail_Leffler45@yahoo.com","+15485827966","Sales","516 Schoen Ways Apt. 247",33937,"2022-10-22"
"Thalia","Romaguera","Thalia_Romaguera2@gmail.com","+19392130760","Sales","519 N Broadway Street Suite 891",133420,"2025-02-07"
"Nellie","D'Amore","Nellie_DAmore26@hotmail.com","+17935566678","Design","154 Koelpin Tunnel Suite 835",144604,"2025-04-11"
"Sammie","Koch","Sammie.Koch@gmail.com","+15582095505","Finance","6609 Ernser Summit Apt. 478",92187,"2016-09-03"
"Paolo","Paucek","Paolo_Paucek9@yahoo.com","+15458595384","Legal","40973 Broadway Suite 811",85545,"2016-06-09"
"Maxwell","Wisoky","Maxwell.Wisoky@yahoo.com","+13475549822","Research and Development","4694 College Street Suite 587",82062,"2018-07-28"
"German","Beier","German.Beier@gmail.com","+16424423936","Marketing","831 Jadon Highway Apt. 545",50932,"2018-06-30"
"Kaleigh","Murray","Kaleigh.Murray54@yahoo.com","+15418920982","Research and Development","1524 Hill Street Suite 807",51932,"2024-12-29"
"Jan","Purdy","Jan.Purdy@yahoo.com","+16008047164","Legal","969 Consuelo Creek Apt. 261",68190,"2024-11-07"
"Ariane","White","Ariane_White@yahoo.com","+17526619256","Operations","53784 W Union Street Apt. 749",54269,"2019-01-09"
"Bernhard","Armstrong","Bernhard_Armstrong22@hotmail.com","+13478163202","Marketing","33901 S Washington Avenue Apt. 318",89057,"2017-03-10"
"Adeline","Kerluke","Adeline.Kerluke@hotmail.com","+15042347564","Product Management","657 Ferry Greens Suite 303",81525,"2018-12-11"
"Leon","Boyer","Leon.Boyer@hotmail.com","+12246661450","Engineering","281 Douglas Burgs Apt. 481",78570,"2021-07-16"
"Ray","Rolfson","Ray.Rolfson@gmail.com","+17719076468","Product Management","345 W Lake Street Suite 507",129356,"2017-01-10"
"Parker","Larson","Parker_Larson@hotmail.com","+16942615515","Marketing","220 Jade Oval Suite 778",132460,"2018-09-09"
